GISJOIN,YEAR,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,RES_TRSTA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,COUNTY,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACEA,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,ZIPA,CD103A,ANPSADPI,E3N001,E3N002,E3N003,E3N004,E3N005,E3N006,E3N007,E3N008,E3N009
GIS Join Match Code,Data File Year,Alaska Native Regional Corporation Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Reservation [excluding trust lands] Code,American Indian Reservation [trust lands only] Code,Reservation/Trust Lands Code,Block Group Code,Census Tract Code,Congressional District (101st) Code,Consolidated City Code,County Name,County Code,County Subdivision Code,Division Code,Metropolitan Statistical Area/Consolidated Metropolitan Statistical Area Code,Place Code,Primary Metropolitan Statistical Area Code,Region Code,State Name,State Code,Urban/Rural Code,Urban Area Code,5-Digit ZIP Code Code,Congressional District (103rd) Code,Area Name/PSAD Term/Part Indicator,Native (001-099): Born in State of residence,"Native (001-099): Born in other State in the United States (001-059): Northeast (009, 023, 025, 033-034, 036, 042-044, 050)","Native (001-099): Born in other State in the United States (001-059): Midwest (017-020, 026-027, 029, 031, 038-039, 046, 055)","Native (001-099): Born in other State in the United States (001-059): South (001, 005, 010-014, 021-022, 024, 028, 037, 040, 045, 047-048, 051-052, 054)","Native (001-099): Born in other State in the United States (001-059): West (002-004, 006-008, 015-016, 030, 032, 035, 041, 049, 053, 056-059)",Native (001-099): Born outside the United States (060-099): Puerto Rico (072-075),"Native (001-099): Born outside the United States (060-099): U.S. outlying area (060-071, 076-099)",Native (001-099): Born outside the United States (060-099): Born abroad of American parent(s),Foreign born (100-999)
"G0202400","1990",,,,,,,,,,"Southeast Fairbanks","240",,"9","9999",,"9999","4","Alaska","02",,,,,"Southeast Fairbanks Census Area",1770,595,1150,951,1139,10,4,118,176
"G0202610","1990",,,,,,,,,,"Valdez-Cordova","261",,"9","9999",,"9999","4","Alaska","02",,,,,"Valdez-Cordova Census Area",3405,690,1778,814,2834,8,3,77,343
"G0202700","1990",,,,,,,,,,"Wade Hampton","270",,"9","9999",,"9999","4","Alaska","02",,,,,"Wade Hampton Census Area",5420,44,94,45,143,0,6,11,28
"G0202800","1990",,,,,,,,,,"Wrangell-Petersburg","280",,"9","9999",,"9999","4","Alaska","02",,,,,"Wrangell-Petersburg Census Area",2978,218,744,310,2650,2,0,49,91
"G0202900","1990",,,,,,,,,,"Yukon-Koyukuk","290",,"9","9999",,"9999","4","Alaska","02",,,,,"Yukon-Koyukuk Census Area",5389,467,903,495,1045,0,0,50,129
"G0400010","1990",,,,,,,,,,"Apache","001",,"8","9999",,"9999","4","Arizona","04",,,,,"Apache County",46590,475,1821,1901,10368,8,0,102,326
"G0400030","1990",,,,,,,,,,"Cochise","003",,"8","9999",,"9999","4","Arizona","04",,,,,"Cochise County",30965,8182,16810,14986,11878,179,101,3400,11123
"G0400050","1990",,,,,,,,,,"Coconino","005",,"8","9999",,"9999","4","Arizona","04",,,,,"Coconino County",49105,5061,13183,7534,18299,12,47,646,2704
"G0400070","1990",,,,,,,,,,"Gila","007",,"8","9999",,"9999","4","Arizona","04",,,,,"Gila County",21205,1888,6508,4442,4884,4,2,173,1110
"G0400090","1990",,,,,,,,,,"Graham","009",,"8","9999",,"9999","4","Arizona","04",,,,,"Graham County",16774,523,2135,2414,3590,4,17,243,854
"G0400110","1990",,,,,,,,,,"Greenlee","011",,"8","9999",,"9999","4","Arizona","04",,,,,"Greenlee County",5032,125,576,890,1094,0,0,33,258
"G0400120","1990",,,,,,,,,,"La Paz","012",,"8","9999",,"9999","4","Arizona","04",,,,,"La Paz County",3686,444,2008,1556,4366,0,0,169,1615
"G0400130","1990",,,,,,,,,,"Maricopa","013",,"8","6200",,"9999","4","Arizona","04",,,,,"Maricopa County",656330,217176,581521,209365,279111,1754,1094,20869,154881
"G0400150","1990",,,,,,,,,,"Mohave","015",,"8","9999",,"9999","4","Arizona","04",,,,,"Mohave County",15120,8734,24450,10271,30921,83,21,508,3389
"G0400170","1990",,,,,,,,,,"Navajo","017",,"8","9999",,"9999","4","Arizona","04",,,,,"Navajo County",55596,1697,5508,4421,9310,3,79,322,722
"G0400190","1990",,,,,,,,,,"Pima","019",,"8","8520",,"9999","4","Arizona","04",,,,,"Pima County",225151,72262,153122,68557,77082,727,224,9807,59948
"G0400210","1990",,,,,,,,,,"Pinal","021",,"8","9999",,"9999","4","Arizona","04",,,,,"Pinal County",53110,6110,22057,13684,13496,34,26,913,6949
"G0400230","1990",,,,,,,,,,"Santa Cruz","023",,"8","9999",,"9999","4","Arizona","04",,,,,"Santa Cruz County",12269,881,1802,811,1822,24,6,1270,10791
"G0400250","1990",,,,,,,,,,"Yavapai","025",,"8","9999",,"9999","4","Arizona","04",,,,,"Yavapai County",30476,10372,29519,11988,21142,72,31,726,3388
"G0400270","1990",,,,,,,,,,"Yuma","027",,"8","9360",,"9999","4","Arizona","04",,,,,"Yuma County",31236,5738,15601,12849,18828,144,58,2294,20147
"G0500010","1990",,,,,,,,,,"Arkansas","001",,"7","9999",,"9999","3","Arkansas","05",,,,,"Arkansas County",18270,115,1068,1740,400,0,7,24,29
"G0500030","1990",,,,,,,,,,"Ashley","003",,"7","9999",,"9999","3","Arkansas","05",,,,,"Ashley County",17604,177,709,5109,489,15,0,45,171
"G0500050","1990",,,,,,,,,,"Baxter","005",,"7","9999",,"9999","3","Arkansas","05",,,,,"Baxter County",11159,1021,13322,3255,1583,2,6,223,615
"G0500070","1990",,,,,,,,,,"Benton","007",,"7","9999",,"9999","3","Arkansas","05",,,,,"Benton County",40004,2350,27743,17688,7837,9,14,615,1239
"G0500090","1990",,,,,,,,,,"Boone","009",,"7","9999",,"9999","3","Arkansas","05",,,,,"Boone County",16992,547,5204,3273,2052,4,25,68,132
"G0500110","1990",,,,,,,,,,"Bradley","011",,"7","9999",,"9999","3","Arkansas","05",,,,,"Bradley County",10419,21,296,799,175,0,0,23,60
"G0500130","1990",,,,,,,,,,"Calhoun","013",,"7","9999",,"9999","3","Arkansas","05",,,,,"Calhoun County",4952,25,138,497,187,0,8,2,17
"G0500150","1990",,,,,,,,,,"Carroll","015",,"7","9999",,"9999","3","Arkansas","05",,,,,"Carroll County",8873,495,4667,2955,1443,0,11,62,148
"G0500170","1990",,,,,,,,,,"Chicot","017",,"7","9999",,"9999","3","Arkansas","05",,,,,"Chicot County",11602,77,671,3084,164,0,0,18,97
"G0500190","1990",,,,,,,,,,"Clark","019",,"7","9999",,"9999","3","Arkansas","05",,,,,"Clark County",16439,242,1054,2712,683,0,0,104,203
