GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,TRBL_SUBA,ANRCA,MSA_CMSAA,PMSAA,NECMAA,URB_AREAA,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,NAME,GI8001,GI8002,GI9001,GI9002,GI9003
GIS Join Match Code,Data File Year,Region Code,Division Code,State Name,State Code,County Name,County Code,County Subdivision Code,Place Code,Census Tract Code,Tribal Census Tract Code,Block Group Code,Tribal Block Group Code,Consolidated City Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Reservation [excluding trust lands] Code,American Indian Reservation [trust lands only] Code,Tribal Subdivision Code,Alaska Native Regional Corporation Code,Metropolitan Statistical Area/Consolidated Metropolitan Statistical Area Code,Primary Metropolitan Statistical Area Code,New England County Metropolitan Area Code,Urban Area Code,Urban/Rural Code,Congressional District (106th) Code,Congressional District (108th) Code,Congressional District (109th) Code,3-Digit Zip Code Tabulation Area Code,5-Digit Zip Code Tabulation Area Code,Area Name-Legal/Statistical Area Description (LSAD) Term-Part Indicator,Native,Foreign born,Born in state of residence,Born in other state in the United States,Born outside the United States
"G0400150","2000","4","8","Arizona","04","Mohave","015",,,,,,,,,,,,,"4120","9999","9999",,,,,,,,"Mohave County",145918,9114,26182,118714,1022
"G0400170","2000","4","8","Arizona","04","Navajo","017",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Navajo County",95816,1654,67403,28011,402
"G0400190","2000","4","8","Arizona","04","Pima","019",,,,,,,,,,,,,"8520","9999","9999",,,,,,,,"Pima County",743696,100050,305003,426446,12247
"G0400210","2000","4","8","Arizona","04","Pinal","021",,,,,,,,,,,,,"6200","9999","9999",,,,,,,,"Pinal County",163484,16243,75843,86354,1287
"G0400230","2000","4","8","Arizona","04","Santa Cruz","023",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Santa Cruz County",23924,14457,16600,6598,726
"G0400250","2000","4","8","Arizona","04","Yavapai","025",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Yavapai County",157572,9945,46641,109756,1175
"G0400270","2000","4","8","Arizona","04","Yuma","027",,,,,,,,,,,,,"9360","9999","9999",,,,,,,,"Yuma County",121547,38479,49501,70131,1915
"G0500010","2000","3","7","Arkansas","05","Arkansas","001",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Arkansas County",20666,83,17574,3075,17
"G0500030","2000","3","7","Arkansas","05","Ashley","003",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Ashley County",23681,528,16306,7289,86
"G0500050","2000","3","7","Arkansas","05","Baxter","005",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Baxter County",37765,621,13804,23777,184
"G0500070","2000","3","7","Arkansas","05","Benton","007",,,,,,,,,,,,,"2580","9999","9999",,,,,,,,"Benton County",143550,9856,59119,83341,1090
"G0500090","2000","3","7","Arkansas","05","Boone","009",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Boone County",33621,327,19133,14389,99
"G0500110","2000","3","7","Arkansas","05","Bradley","011",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Bradley County",12056,544,9618,2397,41
"G0500130","2000","3","7","Arkansas","05","Calhoun","013",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Calhoun County",5691,53,4763,910,18
"G0500150","2000","3","7","Arkansas","05","Carroll","015",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Carroll County",23455,1902,11374,11974,107
"G0500170","2000","3","7","Arkansas","05","Chicot","017",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Chicot County",13786,331,10007,3732,47
"G0500190","2000","3","7","Arkansas","05","Clark","019",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Clark County",23064,482,17502,5423,139
"G0500210","2000","3","7","Arkansas","05","Clay","021",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Clay County",17553,56,10581,6913,59
